新系统-智书,,,,,,,旧系统-泛微（赛事）,,,,旧系统-泛微（MCN）,,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,,payment_plan_list[].payment_desc（付款说明）,N,,,合同审批台账_基本信息,收支计划-备注,,,合同库_一般合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,,payment_plan_list（付款计划）,Y,,,合同审批台账_基本信息,,,,合同库_一般合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,,payment_plan_list[].prepaid（是否预付）,Y,,,合同审批台账_基本信息,,,,合同库_一般合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,,payment_plan_list[].payment_custom_attributes/custom_付款性质（付款性质）,Y,,,合同审批台账_基本信息,,,,合同库_一般合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,,payment_plan_list[].payment_counter_party[].counter_party_code（付款对象）,N,,,合同审批台账_基本信息,,,,合同库_一般合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,,付款计划行id(付款记录传的id),Y,,,合同审批台账_基本信息,ID,,,合同库_一般合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,收款计划,contract_number（合同编码）,Y,,,合同审批台账_基本信息,合同编号,,,合同库_一般合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,,collection_plan_list[].collection_amount（收款金额）,N,,,合同审批台账_基本信息,收支计划-金额,,,合同库_一般合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,,collection_plan_list[].collection_date（收款时间）,Y,,,合同审批台账_基本信息,收支计划-日期节点,,,合同库_一般合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,,collection_plan_list[].collection_desc（收款说明）,N,,,合同审批台账_基本信息,备注,,,合同库_一般合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,,collection_plan_list（收款计划）,Y,,,合同审批台账_基本信息,,,,合同库_一般合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,,collection_plan_list[].collection_counter_party[].counter_party_code（收款对象）,N,,,合同审批台账_基本信息,,,,合同库_一般合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,,收款计划行id(收款记录传的id),Y,,,合同审批台账_基本信息,ID,,,合同库_一般合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,字段模板（主表）,泛微项目编号,,,,,,,,合同库_主播合同,合同所属项目编号,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,泛微合同剩余付款金额,,,,,,,,合同库_主播合同,,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,泛微合同剩余收款金额,,,,,,,,合同库_主播合同,,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,泛微合同编号,,,,,,,,合同库_主播合同,合同编号,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,contract_name（合同名称）,Y,,,,,,,合同库_主播合同,合同标题,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,contract_number（合同编码）,Y,,,,,,,合同库_主播合同,合同编号,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1001_948719050bfe402ab083c98e52fa71b2（合同执行人）,Y,,,,,,,合同库_主播合同,合同执行人员,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,contractCategory(智书框架合同类型),Y,,合同二级类型规则参考：合同数据迁移-二级分类映射规则 ,,,,,合同库_主播合同,关联框架合同的合同类型,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_15_de8944334b104d52b28d9472ab0584ef（专项品类）,,,,,,,,合同库_主播合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_13_c9805a6fe9f245ebbfeea13407277306（是否需要验收）,Y,,"根据专项分类带出。
专项分类要映射为新的专项分类，参考预算项&项目类型底稿 ：原二级分类对应泛微的专项分类字段，二级分类（终版）对应新专项分类，需要将二级分类（终版）的-英文后缀去除；是否验收见预算项&项目类型底稿 中全量预算与专项分类底稿中“是否存在验收“一列",,,,,合同库_主播合同,默认=否,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,pay_type_code（收支类型）,Y,,,,,,,合同库_主播合同,根据合同预计收入、支出带出是否有金额判断,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,property_type_code（计价方式）,Y,,默认固定总价,,,,,合同库_主播合同,无,,默认固定总价,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,amount（合同总额）,Y,,,,,,,合同库_主播合同,合同金额,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,estimated_amount（预估金额）,Y,,,,,,,合同库_主播合同,合同金额,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,fixed_validity_code（合同期限类型）,Y,,默认固定期限,,,,,合同库_主播合同,无,,默认固定期限,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,start_date（合同期限-开始日期）,Y,,,,,,,合同库_主播合同,合同有效期起始时间,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,end_date（合同期限-结束日期）,Y,,,,,,,合同库_主播合同,合同有效期截止时间,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,remark（合同说明）,Y,,,,,,,合同库_主播合同,合同摘要,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,in_amount（收入总额）,Y,,,,,,,合同库_主播合同,合同预计收入,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,out_amount（支出总额）,Y,,,,,,,合同库_主播合同,合同预计支出,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1_ab6f99ee02e549469ec5b2d4a5a98452（主播姓名）,,,,,,,,合同库_主播合同,主播姓名,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1_4fa3c71e706c489e94977935b512b0f6（主播昵称）,,,,,,,,合同库_主播合同,主播昵称,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1_543d4d9106f34c31bf3f9397ded6ef28（房间号/主播ID）,,,,,,,,合同库_主播合同,主播ID,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1_c97a63f71e1048aea384680a64aa3573（主播身份证号码）,,,,,,,,主播卡片,主播卡片中身份证号带出,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1_ba05d6fb71bc4a778b1eca63423a38bc（战队名称）,,,,,,,,主播卡片,主播卡片中战队名称带出,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1012_dbf82175f1964048b83b18550f3bb8d1（官签签约金）,Y,,,,,,,主播卡片,主播卡片中官签签约金,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_5_f53355b8e15546a7a187575f07cf59ee（官签签约金分成比例）,Y,,,,,,,主播卡片,主播卡片中官签签约金分成比例,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1012_3c0986ffce8848caab9249df37e5d49e（固定底薪（每月））,Y,,,,,,,主播卡片,主播卡片中保底薪资（每月）,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1012_07b5c0b4f40a414588ce86d43705f5c4（公司签约金）,Y,,,,,,,主播卡片,主播卡片中公司签约金,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_15_99b283c1e1374c02aaeacead8b336cd7（所属平台）,Y,,,,,,,合同库_主播合同,所属平台,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_5_de3f9a77f174445495453e444e984037（预计回本周期（月））,Y,,,,,,,合同库_主播合同,预计回本周期（月）,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,in_amount（预估收入金额）,Y,,,,,,,合同库_主播合同,合同预计收入,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,out_amount（预估支出金额）,Y,,,,,,,合同库_主播合同,合同预计支出,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_15_78cf503c57194e4fb8ad03ded1c4ad60（打印模式）,Y,,,,,,,合同库_主播合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_10_9a2a0e99771346c98bfb6cfb893e1bee（签署日期）,Y,,,,,,,合同库_主播合同,合同签订日期,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1024_61820798c0f348658d8daa64f8b2aef9（主播卡片）,,,,,,,,主播卡片,点击主播ID进入”主播卡片”,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_5_d6aaf62f8568491c8f5824285e72499d（直播平台的虚拟礼物收益）,Y,,留空,,,,,合同库_主播合同,点击主播ID进入”主播卡片”——打榜情况——礼物流水,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_5_fc246ba4165145af92cffb2e6088c4b3（直播平台签约后每月基本合作费）,Y,,留空,,,,,合同库_主播合同,无,,以财务意见为准：留空,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_5_a8e7beeebc7b4253a9ec3c713d9d790a（自媒体平台账号商务收入）,Y,,留空,,,,,合同库_主播合同,无,,以财务意见为准：留空,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_5_c0a993cb06774ab38ea3e75187631ab5（自媒体平台支付的自媒体账号收入）,Y,,留空,,,,,合同库_主播合同,无,,以财务意见为准：留空,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_5_def7270057bd4913a1fd087b4b1f128e（本合同项下其他可分配收益）,Y,,留空,,,,,合同库_主播合同,无,,以财务意见为准：留空,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1012_65df3bda1aae46a1822c4d4531be5e25（保底费用）,Y,,留空,,,,,合同库_主播合同,无,,以财务意见为准：留空,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1012_a01fe29e8faf471a92d0f002f22aea48（其他费用）,,,留空,,,,,合同库_主播合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1012_27f3d0bf4d1d44cb82333cfe22443b65（基础服务费）,,,留空,,,,,合同库_主播合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,sign_type_code（先盖章方）,Y,,默认,,,,,合同库_主播合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,"   
sign_type_code（签约形式）
 ",Y,,默认纸质签约,,,,,合同库_主播合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,seal_number（盖章份数）,Y,,默认,,,,,合同库_主播合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,contract_files.contract_text（合同文本）,,,,,,,,合同库_主播合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,contract_files.contract_causes（合同附件）,,,,,,,,合同库_主播合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,contract_files.contract_attachments（其他附件）,,,,,,,,合同库_主播合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1201_9ffd79c1e5da4492bfdab24bce0d93f8（费用明细）,,,,,,,,合同库_主播合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,主播流程_对方信息,contract_number（合同编码）,,,,,,,,合同库_主播合同,合同编号,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,counter_party_code（对方主体编码）,,,"
需要映射到中台的客户或供应商编码",,,,,合同库_主播合同,合同客户、合同供应商,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,对方主体名称,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,主播流程_我方信息,contract_number（合同编码）,Y,,,,,,,合同库_主播合同,合同编号,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,our_party_code（我方主体编码）,Y,,"
映射到汉得核算主体编码",,,,,合同库_主播合同,合同用印范围,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,"   
我方主体名称
 
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,主播流程_费用明细,contract_number（合同编码）,Y,,,,,,,合同库_主播合同,合同编号,,,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_15_02f24c2051cb4cc5a5d7a9bc7230f3ff（费用项）,Y,,留空,,,,,,,,留空,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1012_fba348aede86465b90d669eda6e956a7（收入/月平均）,Y,,留空,,,,,,,,留空,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1012_869047e5ebc3425d912890ccd9455a6e（成本/月平均）,Y,,留空,,,,,,,,留空,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1012_47053c50bd7742e79f39e3f37e718720（毛利/月平均）,Y,,留空,,,,,,,,留空,,,,,,,,,,,,,,,,,,
合同管理,付款记录,创建付款记录所需字段,contract_number（合同编码）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,付款记录,,businessCode（业务编号）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,付款记录,,paymentAmount（付款金额）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,付款记录,,currencyCode（币种）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,付款记录,,transactionTime（交易时间）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,付款记录,,paymentPlanUuid（明细行id-付款计划行id）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,付款记录,,bankAccountNumber（银行账号）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,付款记录,,counterPartyCode（交易方编码）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,创建收款记录所需字段,contract_number（合同编码）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,collectionPlanId（收款计划ID-同步合同中的收款计划行id）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,receiptAmount（收款金额）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,currencyCode（收款金额币种）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,businessCode（业务编号）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,transactionTime（交易日期）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,custom_1_32a9f1c93e144153828eca344f4f7270（开票编号）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,custom_1012_b14ed42196864937b2cdd8356f1993f1（开票金额）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,custom_1_c7f44c6730ea4a6ca69ed2a63151a864（开票主体）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,custom_1_45e12829cc1d45c5a201de8bbdbfda6e（订单编号）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,custom_1_60457a32f8f449469156456d13c91de8（订单名称）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,custom_1_b5fdc619ecb14461a2ea7a4ead8c9056（成本中心）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,custom_1_f1bbe1972d5b41e69f36ab2bcb7da499（客户名称）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,